time	SF_x	SF_y	SF_z	MV_x	MV_y	MV_z	MP_x	MP_y	MP_z
25691	3.654816	-0.434621	7.361134	-2.707639	0.433629	0.910790	0.483077	-0.004666	-1.063912
25692	3.641307	-0.402588	7.326990	-2.763744	0.331810	0.957733	0.479275	-0.004719	-1.063384
25693	3.583157	-0.348117	7.200055	-2.750841	0.275964	1.024850	0.476705	-0.005224	-1.061419
25694	3.578905	-0.413147	7.205345	-2.838121	0.306399	0.931435	0.473626	-0.003855	-1.061501
25695	3.558616	-0.299556	7.142403	-2.854918	0.117535	1.004756	0.470354	-0.005311	-1.060527
25696	3.505875	-0.333433	7.043390	-2.895002	0.179823	1.084540	0.467233	-0.004412	-1.058995
25697	3.446515	-0.282309	6.916115	-2.879422	0.094550	1.168126	0.464649	-0.004917	-1.057025
25698	3.480195	-0.291610	6.984782	-2.976266	0.161074	0.955658	0.460863	-0.004499	-1.058088
25699	3.427256	-0.325410	6.885339	-2.985781	0.210212	0.994310	0.457732	-0.003601	-1.056549
25700	3.403976	-0.216488	6.821706	-3.074830	-0.008488	0.929408	0.454443	-0.005054	-1.055564
25701	3.351311	-0.255089	6.722010	-3.084674	0.051954	0.971991	0.451304	-0.004156	-1.054021
25702	3.334857	-0.233240	6.686008	-3.124544	0.145820	0.945410	0.447464	-0.004208	-1.053464
25703	3.281904	-0.270162	6.586010	-3.174572	0.158792	0.991587	0.444318	-0.003310	-1.051916
25704	3.265493	-0.246777	6.549609	-3.217840	0.144651	0.962520	0.440470	-0.003362	-1.051353
25705	3.218123	-0.362841	6.477027	-3.306927	0.257107	0.977150	0.436771	-0.001066	-1.050230
25706	3.202926	-0.332031	6.440180	-3.310145	0.257028	0.979948	0.432916	-0.001119	-1.049659
25707	3.100779	-0.327220	6.235994	-3.353742	0.323727	1.064671	0.429707	-0.000688	-1.046499
25708	3.090144	-0.377908	6.226333	-3.447313	0.321771	1.080763	0.425297	0.000656	-1.046350
25709	3.036257	-0.401556	6.125390	-3.442599	0.489876	1.123487	0.422125	0.001552	-1.044788
25710	3.025085	-0.444627	6.115173	-3.511676	0.547241	1.060385	0.417706	0.002893	-1.044630
25711	2.924208	-0.427263	5.910515	-3.518557	0.516006	1.169299	0.414475	0.003325	-1.041462
25712	2.912821	-0.466195	5.899784	-3.624417	0.653566	1.197635	0.410047	0.004664	-1.041296
25713	2.852593	-0.389805	5.758206	-3.682833	0.552782	1.244466	0.406109	0.004147	-1.039105
25714	2.840950	-0.430977	5.746908	-3.774914	0.753943	1.189859	0.401671	0.005485	-1.038930
25715	2.740096	-0.412119	5.541829	-3.740495	0.732547	1.322464	0.398418	0.005917	-1.035756
25716	2.681582	-0.414629	5.426895	-3.829604	0.730620	1.337509	0.393914	0.006793	-1.033978
25717	2.667854	-0.373816	5.387832	-3.834370	0.730503	1.340832	0.390011	0.006738	-1.033373
25718	2.608791	-0.379310	5.272444	-3.925776	0.728950	1.356755	0.385496	0.007612	-1.031587
25719	2.546482	-0.307557	5.129975	-3.931291	0.697601	1.465277	0.381524	0.007098	-1.029382
25720	2.486739	-0.318869	5.014199	-3.986431	0.602760	1.509800	0.376996	0.007972	-1.027591
25721	2.422640	-0.252238	4.871471	-3.996022	0.572207	1.619504	0.373012	0.007459	-1.025382
25722	2.362447	-0.268523	4.755317	-4.088231	0.602257	1.529884	0.368472	0.008333	-1.023584
25723	2.282796	-0.123763	4.572298	-4.113010	0.384797	1.709693	0.363716	0.006417	-1.020752
25724	2.222457	-0.155468	4.455777	-4.202528	0.383124	1.724648	0.359161	0.007292	-1.018948
25725	2.186906	-0.053126	4.375103	-4.282491	0.179167	1.695501	0.354457	0.005836	-1.017700
25726	2.076743	-0.066996	4.155646	-4.295077	0.113440	1.924995	0.349820	0.006255	-1.014304
25727	2.049798	-0.052920	4.100962	-4.368544	0.101359	1.856844	0.344551	0.006184	-1.013457
25728	2.009518	0.034940	4.019643	-4.420763	0.038935	1.794533	0.339827	0.004731	-1.012199
25729	1.950965	-0.018259	3.902101	-4.508376	-0.022228	1.810889	0.335240	0.005606	-1.010380
25730	1.872100	0.012688	3.744286	-4.569899	-0.055676	1.854813	0.329877	0.005082	-1.007937
25731	1.844165	0.014320	3.688441	-4.672756	-0.123204	1.878277	0.324582	0.005013	-1.007073
25732	1.800852	0.090322	3.606231	-4.689157	-0.289051	1.841488	0.319833	0.003565	-1.005801
25733	1.773158	0.078371	3.549779	-4.791409	-0.257584	1.748910	0.314525	0.003496	-1.004927
25734	1.745162	0.068269	3.492993	-4.821422	-0.244717	1.689137	0.309211	0.003428	-1.004048
25735	1.699763	0.133770	3.410037	-4.891282	-0.390598	1.613393	0.304444	0.001983	-1.002764
25736	1.699463	0.161844	3.414303	-4.973459	-0.432335	1.503624	0.298420	0.000975	-1.002830
25737	1.672739	0.135972	3.356512	-5.030771	-0.495503	1.444709	0.293088	0.000908	-1.001936
25738	1.672004	0.162928	3.359848	-5.116024	-0.434813	1.252188	0.287052	-0.000098	-1.001988
